region,premium
Pittsburgh,0.22733727810650883
Syracuse,0.26680473372781077
BuffaloRochester,0.26905325443786965
Denver,0.2892307692307692
Roanoke,0.30378698224852085
Detroit,0.3042603550295859
Indianapolis,0.3382840236686391
RichmondNorfolk,0.34301775147929003
MiamiFtLauderdale,0.34834319526627233
GrandRapids,0.35994082840236685
Louisville,0.36272189349112405
Columbus,0.37301775147929006
Chicago,0.3748520710059171
BaltimoreWashington,0.38005917159763314
CincinnatiDayton,0.387396449704142
Nashville,0.3984023668639052
Tampa,0.41449704142011834
Albany,0.42455621301775137
NewOrleansMobile,0.4390532544378698
Houston,0.44568047337278094
Boston,0.45301775147929013
Philadelphia,0.4715976331360947
DallasFtWorth,0.47828402366863887
LosAngeles,0.47911242603550286
StLouis,0.48976331360946745
HarrisburgScranton,0.5089349112426036
Atlanta,0.5382840236686393
Portland,0.5424260355029584
Boise,0.5442011834319527
Seattle,0.5456213017751479
Orlando,0.5835502958579881
Jacksonville,0.6346745562130178
NewYork,0.650887573964497
RaleighGreensboro,0.6560355029585798
Spokane,0.6592307692307691
Charlotte,0.6618934911242604
SanDiego,0.6733727810650887
Sacramento,0.6952071005917162
LasVegas,0.7359171597633136
SanFrancisco,0.8140828402366864
HartfordSpringfield,0.8211834319526625
PhoenixTucson,0.9924260355029587
